GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tracker,default,Item,44,0,0,0,17,0,8,0,8,0
tracker,default,Tracker,102,0,8,0,24,0,9,0,5,0
